image color x y value
2018-09-11_14-16-23 red 271 130 2
2018-09-11_14-16-23 blue 208 319 6
2018-09-11_14-16-23 green 220 218 3
2018-09-11_14-16-23 yellow 252 297 1
2018-09-11_14-16-23 black 180 277 4
2018-09-11_14-16-23 white 289 276 3
2018-09-11_15-54-31 red 275 196 5
2018-09-11_15-54-31 blue 176 256 2
2018-09-11_15-54-31 green 222 287 3
2018-09-11_15-54-31 yellow 368 239 1
2018-09-11_15-54-31 black 212 203 6
2018-09-11_15-54-31 white 320 136 6
2018-09-11_14-14-25 red 218 328 1
2018-09-11_14-14-25 blue 257 206 6
2018-09-11_14-14-25 green 232 284 5
2018-09-11_14-14-25 yellow 290 353 4
2018-09-11_14-14-25 black 389 207 4
2018-09-11_14-14-25 white 183 307 1
2018-09-11_14-16-16 red 316 90 4
2018-09-11_14-16-16 blue 282 152 6
2018-09-11_14-16-16 green 269 99 2
2018-09-11_14-16-16 yellow 198 117 4
2018-09-11_14-16-16 black 213 264 6
2018-09-11_14-16-16 white 296 196 3
2018-09-11_14-15-25 red 255 143 5
2018-09-11_14-15-25 blue 262 90 1
2018-09-11_14-15-25 green 298 163 5
2018-09-11_14-15-25 yellow 374 208 2
2018-09-11_14-15-25 black 321 189 1
2018-09-11_14-15-25 white 218 202 4
2018-09-11_15-55-32 red 344 219 5
2018-09-11_15-55-32 blue 263 81 3
2018-09-11_15-55-32 green 222 77 4
2018-09-11_15-55-32 yellow 153 175 2
2018-09-11_15-55-32 black 357 141 3
2018-09-11_15-55-32 white 234 278 4
2018-09-11_14-15-51 red 297 104 6
2018-09-11_14-15-51 blue 133 195 2
2018-09-11_14-15-51 green 180 99 2
2018-09-11_14-15-51 yellow 348 224 4
2018-09-11_14-15-51 black 149 234 4
2018-09-11_14-15-51 white 146 124 6
2018-09-11_14-14-08 red 354 145 2
2018-09-11_14-14-08 blue 294 274 5
2018-09-11_14-14-08 green 195 229 2
2018-09-11_14-14-08 yellow 384 169 5
2018-09-11_14-14-08 black 269 115 2
2018-09-11_14-14-08 white 241 95 4
2018-09-11_15-54-36 red 288 247 1
2018-09-11_15-54-36 blue 204 146 1
2018-09-11_15-54-36 green 241 253 5
2018-09-11_15-54-36 yellow 174 121 5
2018-09-11_15-54-36 black 322 256 5
2018-09-11_15-54-36 white 306 284 4
2018-09-11_14-15-40 red 317 313 2
2018-09-11_14-15-40 blue 186 211 2
2018-09-11_14-15-40 green 307 255 1
2018-09-11_14-15-40 yellow 179 325 2
2018-09-11_14-15-40 black 382 248 5
2018-09-11_14-15-40 white 221 170 4
2018-09-11_14-15-30 red 290 243 5
2018-09-11_14-15-30 blue 159 224 6
2018-09-11_14-15-30 green 191 307 6
2018-09-11_14-15-30 yellow 141 275 2
2018-09-11_14-15-30 black 108 242 4
2018-09-11_14-15-30 white 114 183 4
2018-09-11_15-53-56 red 180 116 4
2018-09-11_15-53-56 blue 216 86 5
2018-09-11_15-53-56 green 328 267 4
2018-09-11_15-53-56 yellow 272 286 6
2018-09-11_15-53-56 black 186 172 4
2018-09-11_15-53-56 white 216 116 6
2018-09-11_15-52-45 red 278 322 2
2018-09-11_15-52-45 blue 251 293 2
2018-09-11_15-52-45 green 319 302 3
2018-09-11_15-52-45 yellow 365 228 4
2018-09-11_15-52-45 black 173 152 1
2018-09-11_15-52-45 white 363 175 2
2018-09-11_15-53-10 red 285 252 6
2018-09-11_15-53-10 blue 178 265 2
2018-09-11_15-53-10 green 153 230 4
2018-09-11_15-53-10 yellow 232 280 6
2018-09-11_15-53-10 black 232 113 1
2018-09-11_15-53-10 white 334 237 6
2018-09-11_14-13-55 red 367 218 3
2018-09-11_14-13-55 blue 308 287 4
2018-09-11_14-13-55 green 200 214 5
2018-09-11_14-13-55 yellow 328 124 4
2018-09-11_14-13-55 black 178 166 5
2018-09-11_14-13-55 white 306 153 2
2018-09-11_14-14-20 red 214 95 3
2018-09-11_14-14-20 blue 240 253 4
2018-09-11_14-14-20 green 248 171 4
2018-09-11_14-14-20 yellow 140 197 1
2018-09-11_14-14-20 black 172 226 4
2018-09-11_14-14-20 white 150 154 1
2018-09-11_15-54-22 red 272 204 5
2018-09-11_15-54-22 blue 159 211 6
2018-09-11_15-54-22 green 355 131 4
2018-09-11_15-54-22 yellow 248 83 6
2018-09-11_15-54-22 black 233 286 1
2018-09-11_15-54-22 white 294 95 3
2018-09-11_15-53-17 red 327 240 6
2018-09-11_15-53-17 blue 309 101 2
2018-09-11_15-53-17 green 190 275 6
2018-09-11_15-53-17 yellow 311 282 2
2018-09-11_15-53-17 black 250 90 1
2018-09-11_15-53-17 white 213 246 5
2018-09-11_15-54-02 red 202 209 6
2018-09-11_15-54-02 blue 306 83 6
2018-09-11_15-54-02 green 271 184 3
2018-09-11_15-54-02 yellow 367 157 5
2018-09-11_15-54-02 black 157 212 4
2018-09-11_15-54-02 white 206 131 3
2018-09-11_15-55-11 red 256 297 5
2018-09-11_15-55-11 blue 301 216 1
2018-09-11_15-55-11 green 188 267 2
2018-09-11_15-55-11 yellow 329 268 5
2018-09-11_15-55-11 black 183 190 3
2018-09-11_15-55-11 white 246 95 1
2018-09-11_14-15-21 red 296 138 4
2018-09-11_14-15-21 blue 275 102 4
2018-09-11_14-15-21 green 353 195 1
2018-09-11_14-15-21 yellow 325 239 4
2018-09-11_14-15-21 black 339 281 4
2018-09-11_14-15-21 white 395 215 6
2018-09-11_14-14-02 red 296 285 3
2018-09-11_14-14-02 blue 291 152 3
2018-09-11_14-14-02 green 265 215 4
2018-09-11_14-14-02 yellow 336 209 5
2018-09-11_14-14-02 black 245 281 1
2018-09-11_14-14-02 white 285 326 5
2018-09-11_14-14-12 red 276 286 6
2018-09-11_14-14-12 blue 185 259 2
2018-09-11_14-14-12 green 131 259 5
2018-09-11_14-14-12 yellow 191 162 5
2018-09-11_14-14-12 black 235 240 6
2018-09-11_14-14-12 white 142 174 4
2018-09-11_15-53-41 red 336 213 5
2018-09-11_15-53-41 blue 358 173 6
2018-09-11_15-53-41 green 211 106 6
2018-09-11_15-53-41 yellow 306 100 5
2018-09-11_15-53-41 black 193 214 2
2018-09-11_15-53-41 white 289 304 2
2018-09-11_14-14-42 red 315 224 4
2018-09-11_14-14-42 blue 314 264 3
2018-09-11_14-14-42 green 269 148 6
2018-09-11_14-14-42 yellow 191 218 1
2018-09-11_14-14-42 black 284 303 6
2018-09-11_14-14-42 white 147 223 2
2018-09-11_15-55-40 red 320 226 2
2018-09-11_15-55-40 blue 352 253 3
2018-09-11_15-55-40 green 334 114 2
2018-09-11_15-55-40 yellow 373 182 6
2018-09-11_15-55-40 black 177 268 3
2018-09-11_15-55-40 white 229 135 2
2018-09-11_14-13-50 red 242 292 6
2018-09-11_14-13-50 blue 136 276 3
2018-09-11_14-13-50 green 225 171 1
2018-09-11_14-13-50 yellow 220 330 1
2018-09-11_14-13-50 black 169 155 1
2018-09-11_14-13-50 white 173 213 6
2018-09-11_14-14-31 red 160 202 3
2018-09-11_14-14-31 blue 237 280 5
2018-09-11_14-14-31 green 165 246 4
2018-09-11_14-14-31 yellow 351 206 5
2018-09-11_14-14-31 black 194 298 1
2018-09-11_14-14-31 white 329 259 4
2018-09-11_15-54-43 red 307 134 1
2018-09-11_15-54-43 blue 270 85 3
2018-09-11_15-54-43 green 226 254 6
2018-09-11_15-54-43 yellow 368 214 6
2018-09-11_15-54-43 black 241 202 3
2018-09-11_15-54-43 white 199 176 3
2018-09-11_14-14-16 red 257 175 5
2018-09-11_14-14-16 blue 345 233 2
2018-09-11_14-14-16 green 306 196 5
2018-09-11_14-14-16 yellow 219 113 1
2018-09-11_14-14-16 black 350 185 3
2018-09-11_14-14-16 white 194 138 2
2018-09-11_14-16-19 red 257 253 4
2018-09-11_14-16-19 blue 168 291 5
2018-09-11_14-16-19 green 144 254 4
2018-09-11_14-16-19 yellow 181 162 3
2018-09-11_14-16-19 black 142 198 5
2018-09-11_14-16-19 white 198 198 4
2018-09-11_14-13-45 red 303 104 2
2018-09-11_14-13-45 blue 160 238 2
2018-09-11_14-13-45 green 246 151 5
2018-09-11_14-13-45 yellow 327 245 1
2018-09-11_14-13-45 black 156 173 5
2018-09-11_14-13-45 white 205 194 5
2018-09-11_14-16-05 red 202 317 2
2018-09-11_14-16-05 blue 218 207 5
2018-09-11_14-16-05 green 268 311 6
2018-09-11_14-16-05 yellow 303 296 2
2018-09-11_14-16-05 black 224 246 1
2018-09-11_14-16-05 white 327 206 3
2018-09-11_15-54-09 red 235 206 3
2018-09-11_15-54-09 blue 185 176 1
2018-09-11_15-54-09 green 274 283 6
2018-09-11_15-54-09 yellow 355 163 2
2018-09-11_15-54-09 black 194 223 6
2018-09-11_15-54-09 white 236 154 6
2018-09-11_15-55-03 red 293 276 6
2018-09-11_15-55-03 blue 352 130 1
2018-09-11_15-55-03 green 200 245 4
2018-09-11_15-55-03 yellow 257 147 1
2018-09-11_15-55-03 black 304 163 4
2018-09-11_15-55-03 white 240 259 2
2018-09-11_15-53-49 red 264 269 4
2018-09-11_15-53-49 blue 180 249 5
2018-09-11_15-53-49 green 344 196 6
2018-09-11_15-53-49 yellow 236 296 2
2018-09-11_15-53-49 black 245 155 5
2018-09-11_15-53-49 white 315 171 2
2018-09-11_15-52-25 red 326 252 5
2018-09-11_15-52-25 blue 340 287 6
2018-09-11_15-52-25 green 285 192 3
2018-09-11_15-52-25 yellow 234 111 1
2018-09-11_15-52-25 black 139 214 1
2018-09-11_15-52-25 white 313 181 5
2018-09-11_14-16-27 red 261 119 2
2018-09-11_14-16-27 blue 230 323 3
2018-09-11_14-16-27 green 307 274 1
2018-09-11_14-16-27 yellow 236 265 2
2018-09-11_14-16-27 black 133 200 6
2018-09-11_14-16-27 white 266 230 5
2018-09-11_14-15-17 red 255 96 6
2018-09-11_14-15-17 blue 374 198 6
2018-09-11_14-15-17 green 175 159 4
2018-09-11_14-15-17 yellow 234 69 1
2018-09-11_14-15-17 black 346 170 3
2018-09-11_14-15-17 white 212 100 1
2018-09-11_15-55-19 red 226 244 5
2018-09-11_15-55-19 blue 276 300 1
2018-09-11_15-55-19 green 244 165 1
2018-09-11_15-55-19 yellow 276 255 5
2018-09-11_15-55-19 black 168 190 5
2018-09-11_15-55-19 white 320 208 4
2018-09-11_14-16-01 red 208 295 4
2018-09-11_14-16-01 blue 145 110 5
2018-09-11_14-16-01 green 300 268 2
2018-09-11_14-16-01 yellow 265 232 3
2018-09-11_14-16-01 black 215 218 5
2018-09-11_14-16-01 white 177 97 3
2018-09-11_14-14-35 red 269 304 5
2018-09-11_14-14-35 blue 212 195 3
2018-09-11_14-14-35 green 317 200 2
2018-09-11_14-14-35 yellow 352 370 4
2018-09-11_14-14-35 black 365 217 4
2018-09-11_14-14-35 white 368 257 3
2018-09-11_15-53-24 red 379 209 5
2018-09-11_15-53-24 blue 283 306 5
2018-09-11_15-53-24 green 184 268 4
